Arquivo contendo os pontos amostrais do interferÔmetro de Michelson,,,
Data:,,8\10\2019,
Hora:,,8:53:34,
Quantidade de franjas:,,0,
ponto,tempo,leitura,marcação
670,33924,21,0
671,33971,23,0
672,34012,23,0
673,34041,62,0
674,34104,62,0
675,34174,62,0
676,34198,77,0
677,34237,77,0
678,34302,66,0
679,34388,66,0
680,34414,30,0
681,34447,30,0
682,34507,30,0
683,34553,29,0
684,34600,29,0
685,34638,70,0
686,34710,70,0
687,34754,70,0
688,34804,74,0
689,34822,74,0
690,34853,74,0
691,34898,40,0
692,34998,40,0
693,35015,16,0
694,35040,16,0
695,35079,16,0
696,35142,48,0
697,35222,48,0
698,35257,74,0
699,35286,74,0
700,35360,74,0
701,35416,74,0
702,35447,74,0
703,35478,44,0
704,35552,44,0
705,35613,44,0
706,35661,16,0
707,35690,16,0
708,35768,52,0
709,35853,52,0
710,35879,75,0
711,35919,75,0
712,35964,69,0
713,36052,69,0
714,36078,32,0
715,36118,32,0
716,36182,32,0
717,36251,22,0
718,36273,22,0
719,36291,22,0
720,36320,61,0
721,36431,61,61
722,36474,77,0
723,36508,77,0
724,36536,77,0
725,36599,69,0
726,36680,69,0
727,36701,40,0
728,36721,40,0
729,36763,40,0
730,36825,18,0
731,36899,18,0
732,36918,54,0
733,36957,54,0
734,37043,54,0
735,37103,76,0
736,37126,76,0
737,37158,70,0
738,37225,70,0
739,37267,70,0
740,37325,35,0
741,37358,35,0
742,37403,19,0
743,37543,19,0
744,37574,55,0
745,37599,55,0
746,37648,76,0
747,37770,76,0
748,37797,70,0
749,37837,70,0
750,37907,35,0
751,37976,35,0
752,38001,20,0
753,38042,20,0
754,38086,20,0
755,38124,60,0
756,38186,60,0
757,38219,60,0
758,38251,76,0
759,38322,76,0
760,38363,76,0
761,38416,61,0
762,38447,61,0
763,38493,23,0
764,38595,23,0
765,38630,33,0
766,38668,33,0
767,38721,33,0
768,38779,67,0
769,38818,67,0
770,38841,77,0
771,38900,77,0
772,38970,77,0
773,39024,62,0
774,39059,62,0
775,39121,25,0
776,39181,25,0
777,39234,26,0
778,39253,26,0
779,39290,26,0
780,39343,65,0
781,39412,65,0
782,39445,76,0
783,39478,76,0
784,39533,76,0
785,39575,58,0
786,39617,58,0
787,39655,58,0
788,39683,21,0
789,39718,21,0
790,39791,21,0
791,39876,34,0
792,39903,34,0
793,39951,68,68
794,40035,68,0
795,40071,77,0
796,40091,77,0
797,40121,77,0
798,40225,61,0
799,40319,61,0
800,40358,24,0
801,40404,25,0
802,40465,25,0
803,40517,25,0
804,40566,60,0
805,40599,60,0
806,40666,76,0
807,40744,76,0
808,40779,66,0
809,40809,66,0
810,40883,66,0
811,40959,30,0
812,40997,24,0
813,41065,24,0
814,41113,24,0
815,41135,64,0
816,41169,64,0
817,41198,64,0
818,41250,76,0
819,41360,76,0
820,41405,62,0
821,41438,62,0
822,41489,23,0
823,41577,23,0
824,41597,32,0
825,41638,32,0
826,41680,32,0
827,41725,66,0
828,41766,66,0
829,41805,66,0
830,41840,76,0
831,41879,76,0
832,41935,76,0
833,41981,62,0
834,42022,62,0
835,42055,62,0
836,42106,26,0
837,42189,26,0
838,42234,34,0
839,42253,34,0
840,42279,34,0
841,42356,74,0
842,42444,74,0
843,42478,70,0
844,42531,70,0
845,42585,41,0
846,42649,41,0
847,42683,17,0
848,42717,17,0
849,42775,17,0
850,42827,40,0
851,42873,40,0
852,42896,40,0
853,42933,71,0
854,43036,71,0
855,43091,76,0
856,43121,76,0
857,43182,63,0
858,43274,63,0
859,43308,29,0
860,43338,29,0
861,43374,29,0
862,43417,23,0
863,43483,23,0
864,43535,23,0
865,43562,63,0
866,43643,63,0
867,43683,76,0
868,43727,76,0
869,43758,63,0
870,43803,63,0
871,43917,63,0
872,43936,29,0
873,43967,29,0
874,43998,29,0
875,44143,29,29
876,44185,66,0
877,44218,66,0
878,44246,76,0
879,44337,76,0
880,44367,76,0
881,44398,63,0
882,44463,63,0
883,44545,24,0
884,44584,24,0
885,44619,34,0
886,44663,34,0
887,44736,34,0
888,44773,68,0
889,44804,68,0
890,44837,75,0
891,44900,75,0
892,44943,75,0
893,44998,52,0
894,45033,52,0
895,45060,52,0
896,45086,21,0
897,45166,21,0
898,45211,21,0
899,45245,48,0
900,45282,48,0
901,45339,74,0
902,45416,74,0
903,45460,72,0
904,45494,72,0
905,45544,72,0
906,45614,40,0
907,45642,40,0
908,45677,20,0
909,45723,20,0
910,45806,20,0
911,45832,51,0
912,45870,51,0
913,45895,51,0
914,45961,75,0
915,46051,75,0
916,46081,71,0
917,46164,71,0
918,46219,38,0
919,46247,38,0
920,46278,23,0
921,46351,23,0
922,46413,23,0
923,46456,58,0
924,46492,58,0
925,46534,76,0
926,46649,76,0
927,46685,72,0
928,46719,72,0
929,46785,45,0
930,46859,45,0
931,46893,17,0
932,46924,17,0
933,47021,17,0
934,47075,34,0
935,47117,34,0
936,47159,67,0
937,47261,67,0
938,47298,77,0
939,47328,77,0
940,47397,66,0
941,47457,66,0
942,47495,30,0
943,47519,30,0
944,47559,30,0
945,47633,27,0
946,47704,27,0
947,47738,61,0
948,47773,61,0
949,47813,61,0
950,47849,76,0
951,47908,76,0
952,47925,76,0
953,47958,60,0
954,48025,60,0
955,48116,60,0
956,48143,24,0
957,48171,24,0
958,48205,35,35
959,48334,35,0
960,48362,68,0
961,48399,68,0
962,48441,76,0
963,48539,76,0
964,48558,61,0
965,48598,61,0
966,48664,61,0
967,48733,24,0
968,48764,24,0
969,48806,32,0
970,48885,32,0
971,48947,32,0
972,48984,68,0
973,49014,68,0
974,49052,75,0
975,49169,75,0
976,49204,54,0
977,49245,54,0
978,49321,21,0
979,49378,21,0
980,49428,51,0
981,49465,51,0
982,49506,51,0
983,49573,75,0
984,49597,75,0
985,49614,75,0
986,49642,71,0
987,49747,71,0
988,49807,71,0
989,49838,43,0
990,49884,18,0
991,49986,18,0
992,50022,41,0
993,50044,41,0
994,50079,41,0
995,50138,71,0
996,50236,71,0
997,50272,75,0
998,50292,75,0
999,50353,75,0
1000,50400,55,0
1001,50439,55,0
1002,50480,20,0
1003,50536,20,0
1004,50597,20,0
1005,50640,38,0
1006,50678,38,0
1007,50697,38,0
1008,50769,70,0
1009,50861,70,0
1010,50890,75,0
1011,50922,75,0
1012,51006,58,0
1013,51055,58,0
1014,51078,24,0
1015,51118,24,0
1016,51190,24,0
1017,51266,32,0
1018,51302,32,0
1019,51321,67,0
1020,51418,67,0
1021,51473,75,0
1022,51491,75,0
1023,51543,75,0
1024,51682,54,0
1025,51718,20,0
1026,51798,20,20
1027,51861,42,0
1028,51912,42,0
1029,51947,73,0
1030,52027,73,0
1031,52102,73,0
1032,52137,71,0
1033,52167,37,0
1034,52271,37,0
1035,52302,24,0
1036,52324,24,0
1037,52363,24,0
1038,52402,58,0
1039,52512,58,0
1040,52539,76,0
1041,52570,76,0
1042,52611,76,0
1043,52684,66,0
1044,52736,66,0
1045,52759,26,0
1046,52798,26,0
1047,52872,26,0
1048,52945,33,0
1049,52982,33,0
1050,53017,67,0
1051,53055,67,0
1052,53104,67,0
1053,53145,74,0
1054,53190,74,0
1055,53225,74,0
1056,53265,58,0
1057,53384,58,0
1058,53413,26,0
1059,53443,26,0
1060,53532,20,0
1061,53607,20,0
1062,53638,50,0
1063,53721,50,0
1064,53781,75,0
1065,53818,75,0
1066,53848,71,0
1067,53888,71,0
1068,53932,71,0
1069,53970,41,0
1070,54008,41,0
1071,54048,41,0
1072,54079,20,0
1073,54211,20,0
1074,54229,53,0
1075,54258,53,0
1076,54302,53,0
1077,54336,75,0
1078,54379,75,0
1079,54421,75,0
1080,54441,69,0
1081,54485,69,0
1082,54540,69,0
1083,54603,34,0
1084,54642,34,0
1085,54678,21,0
1086,54752,21,0
1087,54809,21,0
1088,54849,57,0
1089,54889,57,0
1090,54924,76,0
1091,55045,76,0
1092,55069,71,0
1093,55097,71,0
1094,55166,71,0
1095,55217,42,0
1096,55258,42,0
1097,55285,22,0
1098,55318,22,0
1099,55362,22,0
1100,55408,57,0
1101,55462,57,0
1102,55500,57,0
1103,55540,75,0
1104,55658,75,0
1105,55690,68,68
1106,55734,68,0
1107,55796,34,0
1108,55913,34,0
1109,55950,25,0
1110,55987,25,0
1111,56053,63,0
1112,56110,63,0
1113,56132,76,0
1114,56164,76,0
1115,56244,76,0
1116,56312,63,0
1117,56358,63,0
1118,56408,30,0
1119,56483,30,0
1120,56532,23,0
1121,56568,23,0
1122,56599,57,0
1123,56650,57,0
1124,56698,57,0
1125,56745,75,0
1126,56786,75,0
1127,56823,75,0
1128,56887,69,0
1129,56955,69,0
1130,56979,39,0
1131,57010,39,0
1132,57077,39,0
1133,57127,19,0
1134,57187,19,0
1135,57216,51,0
1136,57277,51,0
1137,57327,51,0
1138,57377,74,0
1139,57409,74,0
1140,57438,72,0
1141,57531,72,0
1142,57587,72,0
1143,57636,43,0
1144,57716,43,0
1145,57788,20,0
1146,57822,57,0
1147,57852,57,0
1148,57880,57,0
1149,57941,75,0
1150,58009,75,0
1151,58038,70,0
1152,58081,70,0
1153,58127,70,0
1154,58195,34,0
1155,58254,34,0
1156,58293,25,0
1157,58324,25,0
1158,58389,25,0
1159,58437,64,0
1160,58476,64,0
1161,58497,64,0
1162,58546,76,0
1163,58665,76,0
1164,58692,56,0
1165,58723,56,0
1166,58762,20,0
1167,58883,20,0
1168,58918,46,0
1169,58982,46,0
1170,59052,74,0
1171,59122,74,74
1172,59158,73,0
1173,59265,73,0
1174,59301,45,0
1175,59352,45,0
1176,59434,18,0
1177,59503,18,0
1178,59530,51,0
1179,59560,51,0
1180,59625,75,0
1181,59716,75,0
1182,59744,72,0
1183,59774,72,0
1184,59837,72,0
1185,59886,46,0
1186,59932,46,0
1187,59965,17,0
1188,60001,17,0
1189,60055,17,0
1190,60129,43,0
1191,60149,43,0
1192,60183,43,0
1193,60257,72,0
1194,60322,72,0
1195,60347,74,0
1196,60368,74,0
1197,60401,74,0
1198,60478,50,0
1199,60551,50,0
1200,60599,17,0
1201,60681,17,0
1202,60727,34,0
1203,60782,34,0
1204,60813,70,0
1205,60879,70,0
1206,60919,70,0
1207,60972,75,0
1208,60998,75,0
1209,61038,54,0
1210,61174,54,0
1211,61222,19,0
1212,61254,19,0
1213,61284,39,0
1214,61342,39,0
1215,61393,39,0
1216,61440,72,0
1217,61521,72,0
1218,61596,73,0
1219,61616,73,0
1220,61661,44,0
1221,61713,44,0
1222,61790,44,0
1223,61816,16,0
1224,61838,16,0
1225,61878,49,0
1226,61961,49,0
1227,62046,49,0
1228,62091,75,0
1229,62129,71,0
1230,62238,71,0
1231,62293,39,0
1232,62320,39,0
1233,62368,16,0
1234,62504,16,0
1235,62557,48,0
1236,62587,48,0
1237,62615,74,0
1238,62665,74,0
1239,62746,74,74
1240,62783,73,0
1241,62856,73,0
1242,62902,44,0
1243,62979,44,0
1244,63003,15,0
1245,63040,15,0
1246,63088,41,0
1247,63182,41,0
1248,63221,72,0
1249,63242,72,0
1250,63316,72,0
1251,63360,76,0
1252,63402,76,0
1253,63438,55,0
1254,63505,55,0
1255,63546,55,0
1256,63618,18,0
1257,63645,18,0
1258,63684,46,0
1259,63737,46,0
1260,63796,46,0
1261,63857,75,0
1262,63896,75,0
1263,63926,74,0
1264,63988,74,0
1265,64049,74,0
1266,64100,47,0
1267,64124,47,0
1268,64158,17,0
1269,64244,17,0
1270,64283,17,0
1271,64318,46,0
1272,64336,46,0
1273,64373,46,0
1274,64413,74,0
1275,64505,74,0
1276,64531,75,0
1277,64558,75,0
1278,64609,75,0
1279,64681,48,0
1280,64736,48,0
1281,64770,18,0
1282,64800,18,0
1283,64877,18,0
1284,64904,55,0
1285,64944,55,0
1286,64967,55,0
1287,64998,76,0
1288,65072,76,0
1289,65136,76,0
1290,65185,69,0
1291,65211,69,0
1292,65261,29,0
1293,65323,29,0
1294,65363,29,0
1295,65398,24,0
1296,65464,24,0
1297,65556,61,0
1298,65582,61,0
1299,65612,77,0
1300,65691,77,0
1301,65752,77,0
1302,65785,67,0
1303,65822,67,0
1304,65865,31,0
1305,65896,31,0
1306,65958,31,0
1307,66025,18,0
1308,66048,18,0
1309,66079,55,0
1310,66158,55,0
1311,66224,55,0
1312,66239,76,76
1313,66279,76,0
1314,66338,71,0
1315,66446,71,0
1316,66492,39,0
1317,66519,39,0
1318,66589,17,0
1319,66656,17,0
1320,66678,52,0
1321,66717,52,0
1322,66785,52,0
1323,66859,75,0
1324,66895,75,0
1325,66920,75,0
1326,66991,75,0
1327,67025,75,0
1328,67068,56,0
1329,67120,56,0
1330,67171,20,0
1331,67286,20,0
1332,67337,31,0
1333,67420,31,0
1334,67491,69,0
1335,67513,69,0
1336,67543,76,0
1337,67622,76,0
1338,67665,55,0
1339,67702,55,0
1340,67734,55,0
1341,67764,18,0
1342,67820,18,0
1343,67867,18,0
1344,67922,40,0
1345,67958,40,0
1346,68011,73,0
1347,68079,73,0
1348,68128,73,0
1349,68170,75,0
1350,68212,75,0
1351,68272,49,0
1352,68336,49,0
1353,68358,15,0
1354,68398,15,0
1355,68476,15,0
1356,68540,42,0
1357,68575,42,0
1358,68647,72,0
1359,68743,72,0
1360,68767,75,0
1361,68798,75,0
1362,68878,52,0
1363,68952,52,0
1364,68992,16,0
1365,69025,16,0
1366,69082,16,0
1367,69128,39,0
1368,69168,39,0
1369,69206,72,0
1370,69290,72,0
1371,69350,72,0
1372,69391,75,0
1373,69419,75,0
1374,69491,51,0
1375,69615,51,51
1376,69647,16,0
1377,69718,42,0
1378,69795,42,0
1379,69830,73,0
1380,69860,73,0
1381,69903,73,0
1382,69996,76,0
1383,70016,76,0
1384,70041,54,0
1385,70089,54,0
1386,70151,54,0
1387,70212,17,0
1388,70239,17,0
1389,70278,34,0
1390,70414,34,0
1391,70448,69,0
1392,70479,69,0
1393,70531,77,0
1394,70601,77,0
1395,70641,77,0
1396,70677,61,0
1397,70718,61,0
1398,70763,21,0
1399,70847,21,0
1400,70886,21,0
1401,70918,32,0
1402,71025,32,0
1403,71062,69,0
1404,71081,69,0
1405,71117,77,0
1406,71190,77,0
1407,71250,77,0
1408,71278,62,0
1409,71321,62,0
1410,71390,26,0
1411,71477,26,0
1412,71513,23,0
1413,71542,23,0
1414,71621,23,0
1415,71658,65,0
1416,71700,65,0
1417,71730,77,0
1418,71760,77,0
1419,71823,77,0
1420,71867,59,0
1421,71913,59,0
1422,71956,59,0
1423,72014,16,0
1424,72100,16,0
1425,72134,44,0
1426,72166,44,0
1427,72235,75,0
1428,72317,75,0
1429,72361,72,0
1430,72437,72,0
1431,72503,38,0
1432,72535,38,0
1433,72580,15,0
1434,72636,15,0
1435,72705,15,0
1436,72756,54,0
1437,72785,54,0
1438,72869,76,0
1439,72976,76,0
1440,73011,69,0
1441,73154,31,0
1442,73193,20,0
1443,73222,20,0
1444,73270,20,0
1445,73295,60,0
1446,73357,60,0
1447,73391,60,0
1448,73410,77,0
1449,73442,77,0
1450,73518,77,0
1451,73540,71,0
1452,73577,71,0
1453,73601,71,0
1454,73638,42,0
1455,73696,42,0
1456,73740,42,0
1457,73789,14,0
1458,73829,14,0
1459,73851,14,0
1460,73923,38,0
